Description,Varname
"Agriculture, Foresty & Fishery",
"Mining",
"Manufacturing",
"Construction",
"Real Estate",
"Transportation, Forwarding & Warehousing",
"Telecommunication & Information Technology",
"Wholesale & Retail Trade",
"International Trade (Import & Export)",
"Tourism, shopping, hotels, restaurants, recreation & entertainment",
"Finance & Insurance",
"Professional & business services",
